pmid,ref_list
3258522,"['154912', '7459162', '570052']"
7950739,"['8460637', '2513965', '1757764']"
127827,"['5269244', '5044758', '51031', '5771188', '4278108']"
3138987,"['6087800', '23104', '3663137', '6332622', '6379151', '5472171', '3486656', '6572915', '6247487', '564692', '2451500', '4084229', '3026359', '3291862', '2884101']"
273225,"['1061124', '62360', '269380', '621786', '886649']"
6315408,"['6951196', '1061124', '6615425', '200917', '7236203', '228058', '7236202', '6278417']"
4895848,"['5327904', '14273650', '5322723']"
328516,"['164667', '5289385', '5044758', '1054823', '329287', '191640', '4372293']"
4576230,"['4345920', '4564210', '4336693', '4555414', '4895848', '4982358', '4894690', '4555406']"
743241,"['5126913', '4205351', '4854723', '11783', '766753']"
3663188,"['6379151', '6310590', '3663137', '4722896', '5767880', '3499139', '184464', '1068456', '6984069', '6943544', '7001464', '6572915', '6747902', '2948490']"
4162733,"['4160398', '5938816', '4160443']"
19870210,"['19868829', '19869519']"
19869862,"['19869455', '19869648']"
4277624,"['4749276', '4267535', '4404057', '4941570', '4706189', '4149273', '4343963', '4270946']"
511941,"['925079', '162790', '701364', '1104745', '172515', '1202020', '357438', '1202019']"
7251647,"['150426', '311808', '172515', '126270', '571893', '1202019', '511932', '315990', '1244421', '702050', '7419572']"
19869556,"['19869100', '19869455']"
62360,"['5126913', '5126912', '802513']"
19871357,"['19869449', '19869450', '19871314', '19871342']"
4942764,"['4926690', '4907880', '4907879', '4895215', '5337773', '4937784']"
5781577,"['6016896', '5646621', '14329463']"
6965306,"['415107', '300781', '1244421', '117075', '311808', '92524', '233910']"
3157765,"['6238974', '150426', '571893', '7328117', '7061598', '650151', '6977612', '7350172', '201645', '1202019', '1202020', '6788894', '1141379', '172515', '6457076']"
6860308,"['1008844', '101214', '486120', '1255846', '7283980', '454374', '6797402']"
14162533,"['13889151', '13814573']"
318646,"['4604640', '4945199', '770430', '1054851', '4994599', '1091928', '4399341', '4579874', '1090571', '1107317', '1090576', '4528605', '1088825', '770449', '770450', '1097424']"
4712575,"['4559741', '13702406', '14074387', '4945192', '4207756', '4515610', '5271748', '4351810']"
4541722,['5316144']
11783,"['62360', '4747985', '802513']"
2310372,"['942401', '6525174', '7320872', '2825654', '2457089', '6332622', '2448800', '3827851', '2650680', '2848495', '3931630', '2451020', '5498453']"
4559593,"['4869215', '4887519', '5547997', '4887520', '4942762', '4929855', '4551983', '4923076']"
3689328,"['1156392', '6797402', '3838468', '6370241', '6165999', '3010323', '291909', '4747985', '3927292']"
4105839,"['4164675', '13743575', '6055758', '5943000', '5941664', '4924107', '4099670', '4102702']"
6234908,"['7459162', '6800388', '6689920']"
38260,"['164667', '1258974', '6068183', '641158', '169697', '629753', '1054823']"
16749142,[]
4275652,"['14074387', '13952722', '6016896', '14329463', '4896350', '4928006', '4336696', '5781577', '5646621', '4717511', '4343823']"
6946497,"['4355374', '164667', '7229034', '331320', '6933459', '7358851', '4758787', '282607', '6787602']"
4100685,"['4873020', '4181538', '13720937', '4098878', '5654401', '5428856']"
6308674,"['167718', '659615', '179091', '288060', '322137', '25652', '4227212', '4106490', '6943544', '1068456']"
1054851,"['4945194', '5237898', '13939962', '4576403', '4901361', '4559599', '4898993', '4587255', '4555413', '5322723', '4874307', '4874304', '4935326', '4606851']"
5289362,['6035644']
3884631,"['6965306', '1083421', '92524', '7372714', '6977612', '627836', '6684122', '7350172', '6229546', '811750', '6257726', '7061598', '6309861', '1244421', '6815205']"
4179834,"['4168369', '13698149', '14176294', '4169739', '4169964']"
4342813,"['4591470', '4942760', '5322723', '4553837', '4935326', '4902384']"
4107814,"['4928006', '4919749', '4167587', '4937782', '4928015']"
702050,"['1244421', '126270', '811750', '304881', '1083421', '1141379', '1113066']"
4332253,['5126912']
19871177,"['19870740', '19870999', '19870932', '19871042', '19871016']"
299457,"['1092653', '1097396', '1107307', '5237898', '4901355', '4275310', '4420778', '1092652', '4574693', '4926684', '125264', '4565418', '4728274', '809424', '5337773', '791929', '4167587', '1090602']"
19869520,['19869450']
1089631,"['4604726', '4107814', '4930242', '4919744', '4884826', '4879237', '4345920', '4572708', '4572709', '4360543', '4399341', '4570768', '4570769']"
4591961,"['4576230', '4555414', '4591481', '4347245', '4894690', '13702406', '4898984', '5337773', '4942760', '4397929', '4574693']"
4372293,"['4356571', '4374890', '4558009', '5131013']"
19870464,"['19870380', '19869520', '19869937']"
4400052,"['4290983', '5338806']"
3034602,"['204299', '3036064', '230821', '200917', '219849', '220959', '2994628', '6293467', '3036081']"
4648821,"['5413326', '4160443', '4325310', '4099670', '5571055', '4323748', '5021704', '5570677', '5083460']"
7076844,"['181401', '7229034', '4340975', '7193688', '171281', '7258300', '1258974', '6987662', '169697', '6943570', '7358851', '6945600']"
3883990,"['5812469', '7001464', '6418245', '444224', '6308674', '6273550', '25652', '564692', '6797411']"
19870999,"['19870932', '19870544', '19870432', '19870854', '19870729']"
1191416,"['5462283', '5676929']"
6288929,"['6984069', '6817329', '564692', '5579652', '4783095', '4227212', '184464', '5046150', '1119538', '5549097']"
811750,"['1141379', '1117030', '167099', '1097576', '126270']"
61588,"['5315962', '4854723', '5126912']"
5288762,['6035644']
19870335,"['19868761', '19870226', '19869072']"
4345849,"['14173001', '14077507', '4879237', '14124314', '4875809', '13894677', '5237898', '4896350']"
4583237,"['4923076', '5327904', '14292991', '4874307', '4884826', '4580569', '4570768', '4728274', '4559593', '4945192', '4930242']"
6689920,"['6221744', '994035', '7470339']"
18873865,"['19870386', '19869937', '19869057', '19871418', '19871420']"
1083421,"['172515', '1254641', '1113066', '126270', '811750']"
8435243,"['2803869', '2967087', '1449925', '1772710']"
6238974,"['7419572', '511932', '567240', '7372714', '6460776', '92524', '1141379', '6749866', '103883', '6183279']"
6421354,"['377292', '177979', '6960360', '5002629', '1258974', '6580622', '38260', '5269244', '1266944', '4689513', '7030313', '6068183', '6035643', '10605441']"
4360938,['4747985']
8460639,"['6716424', '1320125', '1598904']"
96092,"['4590473', '4587256', '4576403', '4559599', '4604640', '1097392', '1092653', '1091928', '5808311', '4399341', '4939760', '4935326', '4580559', '4608710', '4597451', '1090570']"
4887519,"['4874304', '5322723', '4869213']"
8460640,"['5312521', '3094626', '2564734']"
6121819,"['1104745', '6799523', '702050', '571893', '1113066', '7251647', '315987', '7350172', '511932']"
19869058,['19868829']
4342386,"['14898034', '14340090', '13999359', '4314476', '14342506', '4291787', '4315932']"
4267535,"['4342386', '4889268', '5639931', '4341704', '13398435', '4403970']"
5238663,"['14907624', '14907625', '5225522', '13117816']"
3954946,['6860545']
2558167,"['6090649', '2842491', '3827881', '6611404', '5494227', '2900892', '2451020', '3663188', '6984069', '2457089', '1068456', '179091', '4091808', '2905906', '2900332']"
19871084,"['19870543', '19870544', '19870854', '19870729', '19870999']"
5782445,"['13720937', '13698149', '4962241', '4168098', '5654401']"
2432882,"['7001464', '13981351', '7441553', '6273550', '226065', '4091828', '3487314', '6611405', '444224', '6089758', '3486656', '4084229']"
6273550,"['13938025', '5340539', '5340538', '7378065', '25652', '322137', '4783095', '6247487', '444224']"
511942,"['1244421', '1083421', '103883', '701364', '1202019', '1202020', '1117030', '618900', '172515']"
191471,"['14069792', '1156396', '4278548', '942401', '14208357', '13913207', '174544']"
5054252,"['5774266', '5009975']"
4102003,"['14245345', '13621405', '14208357']"
789339,"['4598307', '4345849', '4591955', '1093171', '1090571', '4860908', '4565539', '4576403', '4550819', '1097396', '1100606', '4323966', '4919744', '4551145', '1099076', '1092671', '1099077']"
16742811,"['5494227', '6033576', '5058962', '4900611']"
7258300,"['6945600', '291068', '4364409', '4374890', '4814896', '288080', '5269244', '4558009', '4356571', '1266944', '7193688', '1124800']"
791929,"['13952722', '4929865', '4907880', '816785', '4860908', '1091928', '4591943', '4907879', '1090602', '1099077', '1090571']"
13367334,"['18873865', '19870386', '19871487', '14392237', '13022850', '13022851']"
534520,"['13751592', '1068456', '14222810', '1156396', '14245345', '5685862', '4982085', '5808318', '5688926']"
2999773,"['7229034', '388439', '4715955', '307007', '574143', '1184752', '277924', '5771189', '641158', '1054823', '169293', '6310559', '6193516', '2994048', '6087354']"
2851981,"['186037', '6779811', '204299', '6274318', '6293467', '3034602', '219849', '2840891', '3036081', '3036064', '3140780']"
5919559,['13851098']
19870932,"['19870803', '19870729', '19870814', '19870740']"
14324118,['14106120']
6281794,"['109833', '4362915', '164667', '6946497', '331320', '6933476', '127827', '169293', '191642', '6893455', '282607', '187622']"
5662582,"['4295331', '4168369', '13698150', '14164478']"
4693654,"['13814573', '4171054', '5413326', '4123687', '5531667', '5639362', '5428856', '4335444', '5101779']"
4700482,"['4160443', '4920597', '4123687', '5090066', '5655106', '4623164', '14247718', '14461382', '6034749']"
10278,"['4937782', '4599623', '4574693', '1092658', '1097396', '4591470', '1059152', '4574689', '1097422', '1141201', '4591481', '5237898', '4982358', '809424']"
566280,"['4814896', '4447125', '70433', '4715955', '4814897', '4362915', '4133056', '5049426']"
13598814,"['13475611', '19870376', '19869404', '19869450', '19870596', '19870464', '19871342', '13463248']"
6797402,"['101214', '1255846', '6933549', '949336', '454374']"
13961356,['13715381']
6574511,"['6966402', '38260', '6933459', '191639', '191642', '19499', '1054823', '4290983', '5338806', '6785748', '6787607', '5009975', '307007', '16749142']"
19871000,"['19870740', '19870523', '19870525', '19870803', '19870976']"
4169964,"['14058267', '4169739', '14176294', '4964566']"
4528605,"['4928006', '4942760', '4359647', '4598307', '4943172', '4895848', '4329731', '4928015', '4336696', '4583254', '4565418', '4338582', '4869215']"
174094,"['4342386', '5435498', '4889268', '4579004', '4587250', '4343963', '672', '4394455', '4583021', '171661']"
3826470,"['5310138', '7427299']"
5766943,"['14245436', '4164675', '14164478', '13758073', '4960935']"
4884824,"['13438910', '13398575', '4966827', '13109154']"
124762,"['4539638', '4758659', '14795439', '13222283', '14319404', '4099670', '11526854', '4960935', '1113067', '1092789', '1127385']"
5679365,"['13221781', '4966827', '4961416']"
181401,"['166094', '4262347', '5002629', '1184752', '51031']"
7419572,"['775014', '1117030', '167099', '1097576', '58959', '511932', '233910', '162790', '511942', '300781']"
8439512,"['2390471', '3954946', '2297482']"
4982358,"['14127571', '4894690', '5237898']"
4983644,"['13449101', '4225884', '4177737', '4961416', '4966827']"
4565539,"['4397929', '4333375', '4908671', '4926690', '4912521', '4895215', '4942764', '5337773']"
14041948,['13914195']
14898035,['14907625']
3147803,"['16742812', '7264996', '4783095', '13913207', '5765859', '4333358', '322503', '2457087', '304580', '4783096', '179091', '3291862']"
4329561,[]
14340089,"['14381435', '13376638', '13549500']"
13824817,"['19870598', '13598814', '19870326', '13022850', '13463246', '13367334', '13575668', '13463248']"
5775786,['4290983']
5557473,"['5676929', '13961356']"
14907624,[]
4552989,"['4399341', '4333375', '4939766', '4928016', '4897112', '4323297']"
131564,"['13961356', '5462283']"
7142292,"['58959', '7419598', '6788894', '830791', '7350172', '416168', '344328', '7328117']"
5781580,"['13631208', '4884824', '4884823', '13697429', '13376638']"
6933459,"['4255415', '1054823', '4364409', '624905', '166094', '328516', '282607', '164667', '6987662']"
6332622,"['4391041', '813634', '1147905', '54920', '5046150', '6247487', '6611405', '4391039', '13981351', '560846']"
4621555,"['13733733', '5840799', '14404587', '14485725']"
4574689,"['4107814', '4942914', '4929867', '4942756', '14273650', '4553849', '4167587', '4919746', '4591481']"
3011050,"['5449131', '331320', '6068183', '5002629', '315561', '4447125', '4356572', '1266944', '277924', '6035644', '4689513', '6035643', '2996675', '7049214']"
13758074,['13398971']
2967087,"['6234908', '6626399', '6651996']"
203944,"['803568', '4810778', '4329561', '170607']"
4329731,"['4994599', '4919748', '4929867', '6016896', '4167587', '4926684']"
1329722,"['3034602', '230821', '1314568', '2840891', '2851999', '3036081', '219849', '6274318', '2543975', '2557001', '3140780', '2851981', '3036064']"
5844380,"['13398974', '14068394']"
24736,"['5129269', '20499', '16742812', '4227212', '1079536', '5046147', '1119538', '13621405']"
4186796,"['5822571', '14176294', '6034750', '4179834', '6055758', '4169964']"
7061598,"['811750', '914894', '1244421', '344328', '6795304', '650151', '7328117', '7251647', '6257726', '6788894', '6457076', '7350172']"
1081122,"['5688926', '5316143', '1127019', '1092700', '1109230', '233974']"
4323748,"['4168369', '4169739', '4964566', '4169964', '4179834']"
4177737,"['14340090', '5679365', '4961416', '4966827']"
5046150,"['13621406', '6033576', '5765859']"
4149273,"['4889268', '4892368', '5126909', '13221781', '4341704', '16742541', '4357710', '4144294']"
4404057,"['5968974', '4291787', '5001205', '4923077', '4099097', '4941569', '4941570']"
171657,"['1098043', '4355374', '164667', '1124800']"
3421948,"['6956912', '938474', '202950', '3896234', '6165999', '3463996', '3010323', '3838468', '3927292', '3435459', '3689328']"
3566711,"['12754', '6349622', '3994671', '3486656', '4550608', '1082506', '167718', '6090649', '4267065', '6090645', '6090646', '1068456']"
2820378,"['4084229', '4154743', '4227212', '288060', '5058962', '5013594', '6332622', '4391039', '16742811', '6089758', '6087800']"
17620,"['16749142', '4372293', '5049426', '191640', '4814897', '4364409', '4689513']"
3028370,"['6797402', '6860309', '6956912', '6777369', '230821', '7236202', '2996486', '209453', '200917', '3931636']"
8526860,"['2310372', '7001464', '2457088', '7378065', '2784673', '179091', '1260175', '54920', '1599435', '7310735', '8503874', '2457089', '5449121']"
4919749,"['5764338', '4912520', '6016896', '5646621']"
6833366,"['357438', '117075', '6799523', '650151', '6460776', '701356', '300781', '304881', '6795304', '6158548']"
2736211,"['7059469', '7059468']"
13720937,['13664676']
4595202,"['4939766', '4572709', '4565531', '4912521', '4555414', '4323297', '4572721', '4552989', '4928016', '4333375', '4897112', '4256722']"
4578444,"['4934520', '5920196', '5656397', '4099097', '4268097', '4621686', '4889268']"
5237898,"['14124314', '14173001']"
2829835,"['7115317', '203944', '7283980', '266704', '388427', '3925455', '3461460', '3036064', '2994628', '3036081']"
4941570,"['4390640', '4923066', '4291787', '13319380', '4923077', '4099097']"
1088825,"['770449', '125745', '4273171', '4364333', '770450', '1093168', '5288365', '4528605', '4591961', '4587255', '4606851', '1103150', '1092668', '1090570', '1054851']"
300781,"['53265', '58959', '162790', '131173', '233910']"
4335444,"['5090066', '5766943', '5334538', '4965466', '5654401', '5428856', '4959010', '5791607']"
19870376,"['19870090', '19870145', '19869519']"
5697984,['5338806']
6429156,"['7241050', '511942', '6815205', '233910', '1141379', '115892', '7372714', '201645', '344328', '701356', '6309861', '6460776', '103883', '1117030']"
776172,"['14208516', '171661', '5126909', '4331255', '1098659', '4923074', '4149273', '4150652', '4399517', '4377217']"
5783467,"['4884824', '14342506', '4884823', '5679366', '14340090']"
4926680,"['4898984', '14205619', '4894690', '4895215', '4908671']"
3463996,"['6284707', '7190385', '15938047', '6278417', '1156392', '3927292', '6646125', '388427', '6108560']"
4176227,"['14209913', '4959010', '4160443', '4162733', '4163363']"
4101344,"['4965466', '5271167', '4864671', '4984383', '4160399', '4160398', '5938816']"
4550608,"['5685862', '5840799', '4942408', '5126640']"
7681992,"['2025220', '4211166', '11783', '4008440', '2025221', '4217776', '61588', '6180296', '3896234', '4747985', '3421948', '2438693']"
2905906,"['4200724', '6943544', '4152296', '5046147', '2451020', '2959280', '6033532', '179091', '13621405', '6033576', '2900892', '13621406', '3026311', '2900332']"
4559741,"['4919744', '4399341', '4930242', '4942764', '4902384', '4553849', '4937784', '4591481']"
2580043,"['299886', '1081122', '1003106', '401862', '6386826', '6749861', '6292235', '6147356', '6292236', '6264018', '833542', '6796647']"
4124208,"['5334538', '5523966', '4181572', '6033529', '4693646', '4924198', '4395204', '14021124']"
19870890,"['19869586', '19869519', '19869058', '19870666']"
4341704,"['4099097', '4308839', '4300067', '5775846', '4621686', '4941569', '4889268']"
19869011,['19868762']
3931636,"['269380', '6292456', '4329561', '6289804', '200917', '6860309', '4504372', '6274310', '2996486']"
2873240,"['13938025', '7310735', '6572915', '4200724', '6379151', '4278548', '5579661', '1156396', '7001464', '191471']"
6987662,"['4814897', '641158', '4447125', '5044758', '277924', '4566474', '282607', '169697', '1266944', '1258974']"
6800388,"['141933', '566107', '7470339']"
6035644,['16749142']
2553858,"['401862', '833542', '6802933', '2431098', '2580043', '6386826', '233974', '1081122', '3693396', '299886', '6292235', '1003106', '1003105', '6292236']"
4554536,"['4934520', '4941569', '4922961', '4390640', '4892367', '4099097', '4892368']"
5494227,"['13913207', '5767880', '14454675']"
8234118,"['4583776', '4986974', '4169739', '5083460', '14209913', '4395204', '14245436', '3912749', '5289236', '5136466', '4282849', '30683']"
2348402,"['314510', '2561788', '5865937', '3931630', '14069795', '2457089', '2457088', '4327464', '14222810', '5016949', '13990905', '174544', '14041948']"
3566712,"['7236203', '1093178', '6370241', '6860308', '1156392', '228058', '2996486', '204299', '7236202', '6615426']"
4761331,"['4984383', '4965466', '5766053', '5273452', '13930142', '13761024', '4864671', '14068394', '4864670']"
379866,"['4275652', '816785', '4196248', '4919748', '4351810', '5271748', '1099077', '5327904', '1101266', '361692', '4902384', '791929', '5288365', '361693', '350851', '4156359', '361694', '331321']"
4590473,"['4937782', '4555412', '4874304', '4926684', '4942914', '4579870', '4919748', '4574696', '4630612', '14273650', '5322723']"
4961416,"['14342506', '14340088', '14340090']"
6187754,"['1081122', '903373', '401862', '1109230', '1092700', '6292236', '1003106', '299886', '6264018']"
5288383,[]
5775847,"['13398436', '4177737']"
3112774,"['4504372', '3922296', '6293467', '6777369', '3545185', '803568', '7236202', '575041']"
4335249,"['4180008', '4300067', '5774477', '4225884', '13221781', '4923066', '4315932']"
672,"['4583021', '4373740', '4343963', '4578444', '4598306', '4587250', '4394455', '4579004', '171661', '4341704']"
125586,"['4149273', '4314476', '4271644', '4403970', '13109154', '4892368', '4590489', '4373740', '4150811']"
4171055,"['4959010', '5829755', '4169964', '4864670', '14164478']"
13221780,['13011275']
150426,"['1113066', '618900', '58959', '649658', '418074', '1254641', '172515', '1202019']"
4270946,"['4267535', '4404057', '4579004', '4341704', '4941569', '4923077', '4268097', '4099097']"
4519652,['4747985']
914894,"['1083421', '1202019', '233910', '300781', '299880', '162790']"
5022173,"['5495157', '5781580', '4923066', '5774477', '14340088', '14898034', '14340090']"
13416309,['14898034']
2995326,"['6712596', '8039', '6289804', '170607', '61588', '267930', '6300662', '4008440']"
4939766,"['4919746', '4940379', '4919744', '4902384', '4928016']"
5639931,"['16742541', '14342506', '4961416', '4225884']"
13406175,"['19870855', '19869100', '13303998', '19869057', '19869519', '19870376', '19870326']"
4928015,"['4902384', '5646621', '4919748', '4919749']"
5570677,"['13912024', '6050103', '4986974', '13398971', '14022799', '5942999']"
5316660,"['5316144', '5501007']"
5499793,['6023963']
4343963,"['13109154', '4892368', '4892367', '4554536', '4394455', '4889268']"
13022851,"['19869556', '19871418', '19871314', '19871354', '19870915', '19870377']"
6704263,"['6221744', '5557473', '6800388']"
7045162,"['224077', '143664', '218198', '16742833', '241998', '4783095', '4278548', '597246', '14069792', '6273550']"
14273672,"['14188732', '13700047', '14203364']"
666748,"['5013594', '1260175', '4333037', '5055788', '5129269', '4227212', '24736', '25652', '1119538']"
4587256,"['4867745', '4574696', '4898993', '4552226', '14273650', '4860908', '4887519', '4934065', '4887520', '4891262']"
6090645,"['564692', '24736', '6117854', '560846', '7378065', '6604805', '1068456', '14228505', '6267261']"
4577747,"['4323297', '4934065', '4574689', '4559593', '4923076', '4167587', '4627928', '4563986', '4937782', '5337773']"
5064225,"['4337577', '5273452', '5547056', '5795099', '5762048', '4927595', '5105952', '4112260', '4104294']"
5495156,"['4394455', '5686003', '5639931', '13514006', '4308839', '4225884']"
217006,"['4355374', '4356571', '191642', '5044758', '4558009', '299747', '164667', '5289385', '4372293']"
1092667,"['4897112', '1090570', '1090571', '4923076', '4558662', '4552989', '4994599', '4583203', '4364333', '4595202', '4555414', '14205619', '1093180', '4606553']"
5073238,"['5472171', '5549097', '4250239', '5494227']"
19869425,['19869404']
3693396,"['6264018', '401862', '1081122', '6292236', '1003105', '1127019', '1003106', '2580043', '6147356', '6796647', '2431098', '1092700', '2950123']"
4597451,"['13939962', '4336693', '14047235', '4583254', '5327904', '4591961', '14273641', '4580563', '4728274', '4943172', '4333375', '4912521']"
4333037,"['5859021', '5129269', '5352046', '5579661']"
4278109,"['4758787', '4364409', '4362915']"
226065,"['167718', '241998', '192082', '4152296', '4333037', '184464', '597246', '172531']"
4942408,"['14041948', '4102003', '5472171']"
2484210,"['2443667', '6090646', '6090649', '2870180', '1079536', '7441553', '2558167', '2457088', '6379151', '2842491', '2558168', '2458453']"
202265,"['5495157', '776172', '5781580', '4261111', '4399518', '5774477', '4749276', '4150811', '139891']"
4555405,"['4895537', '4942760', '5646621', '5327904', '4887519', '4898993', '4874307']"
13715381,[]
10987769,"['6716424', '1598904', '8520272']"
19869454,['19869059']
5645848,"['13398974', '5639362', '4160443', '14461382', '14058267']"
1081991,"['51031', '1054823', '4255415', '166094', '5289385']"
4926690,"['4869215', '4891262', '4895215', '5337773']"
19871420,"['19870621', '19870480', '19869100', '19869937', '19869059']"
12754,"['4391039', '16742811', '5579661', '5013594', '1147905', '167718']"
641158,"['4255415', '204932', '5009975', '4715955', '51031', '5054252', '269439']"
4364542,"['4342386', '4267535', '4341704', '4099097', '13697429', '4922961', '4515933']"
4583254,"['4576230', '4895215', '4869215', '5547997', '14047235', '4898984', '4559593', '4942762', '4551145', '4555414', '4908671']"
945806,"['4982085', '1109230', '1081122', '1083424', '1127019', '233974', '1092700']"
4924198,"['4873020', '4920597', '4323748', '4964566', '4169964', '4305180']"
6712596,"['212599', '6278417', '4211166', '1064875', '62360']"
2302188,"['3112774', '3718473', '743241', '8039', '4854389', '6292456', '3010323', '202957', '379820', '803566', '3753440', '2829834']"
4630612,"['4929867', '4399341', '4167587', '4919746', '4940379', '4559594', '4942756', '4937784', '14273650']"
2818558,"['187173', '7191691', '5315962', '6260081', '230821', '454374', '6284707', '6108560', '2649083', '388427', '3010323', '3925455']"
4566474,"['5049426', '5009975']"
212022,"['4177737', '14342506', '13514006', '4308839', '4590489', '14907624', '5968974', '125586', '4373740', '1212205']"
6048801,"['16562076', '14342506', '14340090', '14340088']"
186640,"['4715955', '4530317', '5269244', '1184752', '51031', '181401']"
5158908,['5126913']
5449131,['5338806']
13449101,"['13357506', '13438910']"
67179,"['4400052', '4279270', '169293', '4278109', '5269244']"
6386826,"['1003106', '6147356', '903373', '1081122', '1083424', '833542', '6802933', '6264018', '299886', '401862', '6749861']"
19870090,['19869404']
4555414,"['4399341', '4942762', '4552989', '5337773', '4926680', '4397929', '4929865']"
6795635,"['10605441', '6035644', '4340975', '4566474', '5131013', '4689513', '6987662', '6945600', '286325', '96438', '1098043']"
4264646,"['4323748', '4099670', '4168369', '4964566', '4178111', '5083460', '5021704', '5570677', '4648821']"
13149737,"['19870621', '14907964', '19870915', '19870376', '19870463', '16744548', '16744547']"
17116,"['5775847', '13885712', '5679365', '5225522', '4364542', '4515933', '4922961', '1061146']"
5771188,['5338806']
3718485,"['221532', '7182478', '1156396', '4278548', '6418245', '659615', '5126640', '14206424', '6525174', '7310735', '4900611', '564692', '4084229']"
13889151,['13814573']
13912024,[]
4589989,"['4181830', '5473607', '4693654', '5430788', '4630981']"
7419598,"['567240', '58959', '305462', '315987', '6893451', '162790', '1117030', '1097576', '1113066', '357438', '344328']"
19870803,"['19870740', '19870525', '19870523', '19870729']"
6310559,"['307006', '6790574', '6035643', '6068183', '315561', '191642', '191640', '426037', '307007', '5449131', '4689513']"
3026311,"['5812469', '4621555', '1260175', '4091808', '25652', '6087800', '191471', '5046150', '659615', '5058962', '5046147', '6247487', '174544']"
171661,"['4923077', '4277624', '4941569', '4394455', '4579004', '4612538', '4583021', '4598306', '4587250']"
6260081,"['4332253', '5126912', '4736534', '886649', '200917', '6779811']"
13303984,"['19870335', '19871000', '19870943', '19870976', '19869057', '19869058', '13149737']"
4984383,"['4959010', '4899853', '4864671', '4160399', '4965466', '5938816']"
4110183,"['13758073', '5941664', '14113076', '4178111', '4962241', '13758074', '4872344', '4964566']"
19871342,"['19869404', '19869450', '19870978', '19870979', '19870707']"
6055758,"['4164675', '14164478', '5942999', '4161820']"
14210764,"['13743575', '13930142']"
186037,"['170607', '1064875', '949336']"
6034750,"['13814573', '14113076']"
4896350,"['14124314', '4879237', '5237898']"
16992299,"['13398971', '13758073', '11526854', '13758074']"
314510,"['5579661', '444224', '167718', '401862', '5449121', '1092700', '1083424', '5316143']"
5016949,"['13621405', '14485725', '5844381', '14245345']"
4591470,"['5322723', '4912521', '14292991', '14273640', '14273641', '14127571', '14047236', '14047235']"
179091,"['14485725', '5812469', '1260175', '4566524', '4250239']"
282607,"['169697', '4374890', '4255415', '4340975', '1262475', '299747', '187622', '641158']"
4133056,"['4814896', '5049426', '4814897']"
13549500,"['13514006', '13398437']"
6817329,"['24736', '6247487', '1079536', '16742812', '5046150', '4154743', '6273550']"
19870967,"['19870729', '19870854', '19870814', '19870932', '19870740']"
6262521,"['4527690', '1093178', '266704', '228058']"
4329562,[]
4394455,"['4961416', '13449101', '4177737', '4966827', '5679365']"
949336,"['1156392', '8039', '1220686']"
180972,"['4331255', '5238663', '4331254', '4144294', '776172', '4357710', '4399517', '5996', '4357711', '4377217']"
4278108,"['5049426', '4362915', '4133056']"
4562404,"['4884826', '4273171', '4930242', '4338582', '4937782', '4935321', '5327904', '4927673']"
3912749,"['14795438', '13222283', '4169739', '14021124', '5473607', '5913303', '4159050', '5766053', '5829754', '13889151', '5829755', '13814573']"
4573426,"['14058267', '5570677', '4099670', '4924107', '5083460', '4648821', '4264646', '4675201', '5021704']"
4391041,['5340539']
1108010,"['4939766', '4570769', '4591481', '1094466', '4930242', '1092652', '4937782', '4928006', '1089631', '1097390', '4606851', '1092658', '4918356', '1101264']"
5824062,['5775787']
19871016,"['19870362', '19870432', '19870740', '19870932']"
6451217,"['14381435', '5495157', '154888', '4441366', '4331255', '212021', '5495156', '139891', '4271644', '202265']"
1065905,"['4566524', '179091', '5494227', '1156396', '174544', '14041948', '5073238']"
2850801,"['4267065', '167718', '453335', '4566524', '6090646', '6087800', '2959277', '6611405', '4210210', '6943544', '304580', '6310590', '1147905', '444224', '322503']"
7008815,"['141933', '7459162']"
8503862,"['3019668', '6779811', '230821', '1016244', '3140780', '3034602', '1323838', '949336', '597231', '3036064', '1314568', '2557001', '2851999']"
5806399,"['6033576', '5637350', '13621406']"
6284707,"['5315962', '6933549', '228058', '7115317', '266704', '4636395', '6262521']"
4722896,"['5472171', '5549097', '5073238', '5494227', '4250239']"
4151956,"['4566474', '4355374', '4351807']"
7041938,['7459241']
13641562,"['19868829', '19870861', '19870915', '14392237', '13575668', '13367334', '13022851', '13022850']"
5654401,"['14245436', '14795439', '13912024', '14113076', '6034749']"
3006053,"['70433', '6187012', '1262475', '6945600', '6308050', '566280', '5771189', '6201359', '109833', '5771188', '7358851', '6223940', '6987652', '6460044']"
204932,"['5289385', '191642', '191639', '191640', '186639', '186640']"
6201359,"['6966402', '566280', '6933459', '4814896', '6987652', '1266944', '6449521', '6284798', '624905', '288080', '6273845', '7193688', '6460044', '1081991']"
6796647,"['903373', '1083424', '299886', '833542', '1081122', '945806', '6264018', '401862']"
5656394,"['5859021', '13944428']"
5766053,"['4169739', '13398975', '13398971', '13035721', '14068394']"
19870029,"['19869057', '19869084']"
5316144,"['5501008', '5579645']"
344328,"['1083421', '1141379', '167099', '304881', '58959', '1097576', '1244421', '1113066']"
14205619,['14047236']
4918633,"['5238663', '14907624', '13117816', '5225522', '4984428']"
1103150,"['4935326', '4597451', '4583233', '4196248', '4559741', '4928015', '14074387', '4728274', '4583203', '4342813', '4214778', '4919749', '1091625', '4884826', '1080132', '1090570']"
